Lib Caller, Lib Name
java.util.Scanner_hasTokenInBuffer.meth,java.util.regex.Matcher_end
java.nio.CharBuffer_allocate_int.meth,java.lang.IllegalArgumentException_init
java.nio.CharBuffer_put_java.nio.CharBuffer.meth,java.lang.IllegalArgumentException_init
java.nio.CharBuffer_put_java.nio.CharBuffer.meth,java.nio.ReadOnlyBufferException_init
java.nio.CharBuffer_put_java.nio.CharBuffer.meth,java.nio.BufferOverflowException_init
java.util.Scanner_makeSpace.meth,java.util.regex.Matcher_reset_java.lang.CharSequence
java.nio.CharBuffer_put_char_arr_int_int.meth,java.nio.BufferOverflowException_init
java.util.ArrayList$SubList$1_checkForComodification.meth,java.util.ConcurrentModificationException_init
java.util.ArrayList$SubList$1_next.meth,java.util.NoSuchElementException_init
java.util.ArrayList$SubList$1_next.meth,java.util.ConcurrentModificationException_init
java.util.LinkedList$ListItr_checkForComodification.meth,java.util.ConcurrentModificationException_init
java.util.LinkedList$ListItr_next.meth,java.util.NoSuchElementException_init
java.util.SubList$1_next.meth,java.util.NoSuchElementException_init
java.util.ArrayList$Itr_checkForComodification.meth,java.util.ConcurrentModificationException_init
java.util.ArrayList$Itr_next.meth,java.util.NoSuchElementException_init
java.util.ArrayList$Itr_next.meth,java.util.ConcurrentModificationException_init
java.util.IdentityHashMap$IdentityHashMapIterator_nextIndex.meth,java.util.ConcurrentModificationException_init
java.util.IdentityHashMap$IdentityHashMapIterator_nextIndex.meth,java.util.NoSuchElementException_init
java.util.Collections$1_next.meth,java.util.NoSuchElementException_init
java.util.Collections$EmptyIterator_next.meth,java.util.NoSuchElementException_init
java.util.LinkedHashMap$LinkedHashIterator_nextNode.meth,java.util.ConcurrentModificationException_init
java.util.LinkedHashMap$LinkedHashIterator_nextNode.meth,java.util.NoSuchElementException_init
java.util.HashMap$HashIterator_nextNode.meth,java.util.ConcurrentModificationException_init
java.util.HashMap$HashIterator_nextNode.meth,java.util.NoSuchElementException_init
java.util.AbstractList$Itr_checkForComodification.meth,java.util.ConcurrentModificationException_init
java.util.AbstractList$Itr_next.meth,java.util.NoSuchElementException_init
java.util.Spliterators$1Adapter_next.meth,java.util.NoSuchElementException_init
java.util.Hashtable$Enumerator_next.meth,java.util.ConcurrentModificationException_init
java.util.Hashtable$Enumerator_nextElement.meth,java.util.NoSuchElementException_init_java.lang.String
java.util.WeakHashMap$HashIterator_nextEntry.meth,java.util.ConcurrentModificationException_init
java.util.WeakHashMap$HashIterator_nextEntry.meth,java.util.NoSuchElementException_init
java.util.WeakHashMap$Entry_getKey.meth,java.lang.ref.Reference_get
java.util.ServiceLoader$LazyIterator_next.meth,java.security.AccessController_native_doPrivileged_java.security.PrivilegedAction_java.security.AccessControlContext
java.util.LinkedList$ListItr_previous.meth,java.util.NoSuchElementException_init
java.util.TreeMap$PrivateEntryIterator_nextEntry.meth,java.util.NoSuchElementException_init
java.util.TreeMap$PrivateEntryIterator_nextEntry.meth,java.util.ConcurrentModificationException_init
java.util.TreeMap$PrivateEntryIterator_prevEntry.meth,java.util.NoSuchElementException_init
java.util.TreeMap$PrivateEntryIterator_prevEntry.meth,java.util.ConcurrentModificationException_init
java.util.TreeMap$NavigableSubMap$SubMapIterator_nextEntry.meth,java.util.NoSuchElementException_init
java.util.TreeMap$NavigableSubMap$SubMapIterator_nextEntry.meth,java.util.ConcurrentModificationException_init
java.util.TreeMap$NavigableSubMap$SubMapIterator_prevEntry.meth,java.util.NoSuchElementException_init
